date,#Births
2015/11/16,2943
2015/11/17,3232
2015/11/18,2956
2015/11/19,2985
2015/11/20,3064
2015/11/21,2234
2015/11/22,2016
2015/11/23,1932
2015/11/24,2928
2015/11/25,3132
2015/11/26,2955
2015/11/27,2982
2015/11/28,2208
2015/11/29,1935
2015/11/30,2848
2015/12/1,3129
2015/12/2,2861
2015/12/3,2979
2015/12/4,2884
2015/12/5,2218
2015/12/6,1975
2015/12/7,2875
2015/12/8,3069
2015/12/9,2876
2015/12/10,2917
2015/12/11,3001
2015/12/12,2249
2015/12/13,1862
2015/12/14,2801
2015/12/15,3152
2015/12/16,3061
2015/12/17,2992
2015/12/18,3025
2015/12/19,2258
2015/12/20,1954
2015/12/21,3213
2015/12/22,3443
2015/12/23,2023
2015/12/24,3475
2015/12/25,3679
2015/12/26,2372
2015/12/27,1838
2015/12/28,3288
2015/12/29,2788
2015/12/30,2127
2015/12/31,1915
